lago,fecha,chla_media,chla_mediana,chla_p90,pct_floracion,ndvi_agua,ndwi_agua,px_agua
Amatitlan,2025-01-28,14.387044,12.0609665,25.004793,64.28622797554836,-0.2897155,0.5966333,27810
Amatitlan,2025-04-15,10.026078,4.875821,21.687008,34.01052804737621,-0.10954136,0.33133924,12158
Amatitlan,2025-04-28,13.238562,4.924363,35.054123,31.83188355869434,-0.08257646,0.32853103,23235
Amatitlan,2025-11-24,12.897591,6.817333,27.748075,30.627069396580854,-0.34655342,0.51098984,29668
Amatitlan,2026-01-08,50.92156,15.806187,42.894688,80.07803682564251,-0.084990956,0.3626923,31106
Amatitlan,2026-02-02,6.2033467,6.4857283,8.913216,4.689428218839983,-0.18401816,0.3196668,2431
Amatitlan,2026-02-07,327.72177,6.8715363,11.025892,13.887554060547814,-0.10876985,inf,10405
Amatitlan,2026-03-29,17.08768,11.467323,36.966335,58.3954079397073,-0.06545084,0.32426658,22824
Amatitlan,2026-04-13,16.649096,14.019631,28.028305,81.38589717537086,-0.030339364,0.28878078,34447
Amatitlan,2026-04-28,24.171064,12.69605,63.877586,51.88276925868796,0.018727701,0.28160286,33497
Amatitlan,2026-06-19,63.427525,63.626244,105.93175,96.73682295141627,-0.09103345,0.5046164,33055
Atitlan,2025-01-18,-inf,9.895138,5948.9106,49.98298451590948,inf,inf,285208
Atitlan,2025-04-13,2.6585925,3.235172,4.1468596,0.02816480679369279,-0.049592238,0.38570383,234335
Atitlan,2025-05-13,2.6779552,3.667955,4.5105414,0.04088283899647026,-0.079270534,0.4475678,173667
Atitlan,2025-07-17,-inf,4.242626,4.950331,0.7197268438277756,0.008783272,0.46540523,211750
Atitlan,2025-11-21,-inf,3.0832868,7.8458295,7.802930635575919,inf,inf,264579
Atitlan,2025-12-29,-inf,1.992521,5.303676,4.5431378908463635,inf,inf,280619
Atitlan,2026-02-12,-inf,3.6942577,12.897306,10.837873230163726,inf,inf,276579
Atitlan,2026-03-24,3.3431106,3.81841,4.601613,0.07880406413438451,-0.12926778,inf,296939
Atitlan,2026-04-13,-inf,3.5154958,4.8116293,0.5018422055647312,-0.044849355,0.44218963,47226
Atitlan,2026-04-28,2.4064412,3.1618967,4.1500115,0.029909225500605662,-0.113257125,0.39898893,133738
Atitlan,2026-07-22,75.44669,4.071,4.8245664,0.40224741906615863,-0.08339429,inf,216836
